dfo_stock_id,stock_id,crib_stock_id,crib_ncells,crib_stock_area,crib_sname,crib_cname,crib_sens,crib_sens_sd
,ROSOLE_HS_5CD,ROSOLE_HS_5CD,108,5CD,lepidopsetta bilineata,rock sole,0.360824743,0.081626869
,ROSOLE_QCS_5AB,ROSOLE_QCS_5AB,69,5AB,lepidopsetta bilineata,rock sole,0.333215337,0.074215224
,GREN_AT_ARC,GREN_AT_ARC,NA,NA,NA,NA,NA,NA
,GREN_23KL,GREN_23KL,NA,NA,NA,NA,NA,NA
,SECUC_QC,SECUC_QC,NA,NA,NA,NA,NA,NA
,SECUC_SWNB,SECUC_SWNB,NA,NA,NA,NA,NA,NA
,SESCAL_3Ps,SESCAL_3Ps,71,3Ps,placopecten magellanicus,sea scallop,0.353777665,0.06367773
,SHTHOR_PAC,SHTHOR_PAC,NA,NA,NA,NA,NA,NA
,SIROCK_PAC,SIROCK_PAC,250,PAC,sebastes brevispinis,silvergrey rockfish,0.391159237,0.098270704
,SMSKA_NENL_2J3K,SMSKA_NENL_2J3K,291,2J3K,malacoraja senta,smooth skate,0.444347185,0.073332817
,SMSKA_SGOSL_4T,SMSKA_SGOSL_4T,184,4T,malacoraja senta,smooth skate,0.69432213,0.064243875
,THSKA_4T,THSKA_4T,203,4T,amblyraja radiata,thorny skate,0.376968928,0.0781157
,RO_TO_CRAB_NL,RO_TO_CRAB_NL,NA,NA,NA,NA,NA,NA
,GRURCH_GOSL,GRURCH_GOSL,NA,NA,NA,NA,NA,NA
,SEURCH_NL,SEURCH_NL,NA,NA,NA,NA,NA,NA
,WAPOL_NORTH,WAPOL_NORTH,169,NORTH,theragra chalcogramma,walleye pollock,0.290522079,0.088968752
,WAPOL_SOUTH,WAPOL_SOUTH,142,SOUTH,theragra chalcogramma,walleye pollock,0.307226039,0.085506812
,WHELK_2J3K3L4R,WHELK_2J3K3L4R,897,2J3K3L4R,buccinum undatum,whelk,0.439570039,0.110040268
,WHELK_QC_1_15,WHELK_QC_1_15,NA,NA,NA,NA,NA,NA
,WHHAKE_4RS,WHHAKE_4RS,250,4RS,urophycis tenuis,white hake,0.311348038,0.071130952
,WHHAKE_4VW,WHHAKE_4VW,296,4VW,urophycis tenuis,white hake,0.369167838,0.074356299
,WHHAKE_4X5Zc,WHHAKE_4X5Zc,148,4X5Zc,urophycis tenuis,white hake,0.388106621,0.05839179
,WIROCK_PAC,WIROCK_PAC,NA,NA,NA,NA,NA,NA
,WINFLO_23KL,WINFLO_23KL,180,23KL,pseudopleuronectes americanus,winter flounder,0.312562412,0.056068005
,WISKA_3LNOP,WISKA_3LNOP,111,3LNOP,leucoraja ocellata,winter skate,0.613420403,0.038089667
,WISKA_4T,WISKA_4T,177,4T,leucoraja ocellata,winter skate,0.646600055,0.063462984
,WISKA_4VW,WISKA_4VW,260,4VW,leucoraja ocellata,winter skate,0.646818222,0.040693864
,WIFLO_23KL,WIFLO_23KL,879,23KL,glyptocephalus cynoglossus,witch flounder,0.321389369,0.09508166
,YEFLO_4T,YEFLO_4T,182,4T,limanda ferruginea,yellowtail flounder,0.567471473,0.057766195
